type,listPrice,lastSoldPrice,sqft,stories,beds,baths_full,garage,year_built,zip,baths_partial,price_per_sqft,price_category
condos,575000.0,575000,836.0,1.0,2.0,1.0,0.0,1966.0,34242,0.0,687.799043062201,alto
single_family,290000.0,270000,1296.0,1.0,3.0,2.0,2.0,2004.0,33579,0.0,208.33333333333334,bajo
mobile,52400.0,54200,1534.0,1.0,2.0,2.0,0.0,1976.0,32129,0.0,35.33246414602347,bajo
single_family,186000.0,150000,1248.0,1.0,3.0,2.0,2.0,1988.0,32771,0.0,120.1923076923077,bajo
mobile,28000.0,26000,1152.0,1.0,2.0,2.0,0.0,2006.0,32960,0.0,22.569444444444443,bajo
single_family,525000.0,525000,2161.0,1.0,4.0,2.0,2.0,1986.0,32757,0.0,242.94308190652475,alto
single_family,585000.0,585000,1928.0,2.0,3.0,2.0,1.0,1979.0,32092,0.0,303.42323651452284,alto
single_family,375000.0,365000,2028.0,1.0,4.0,2.0,2.0,2005.0,33594,0.0,179.98027613412228,medio
townhomes,889000.0,880000,1568.0,2.0,2.0,2.0,1.0,1981.0,33308,1.0,561.2244897959183,alto
single_family,2495000.0,2200000,3483.0,1.0,3.0,3.0,4.0,2015.0,34202,0.0,631.6393913293139,alto
single_family,1175000.0,1118000,2251.0,1.0,4.0,2.0,3.0,2015.0,34135,0.0,496.66814749000446,alto
single_family,239900.0,238000,1245.0,1.0,2.0,2.0,1.0,1987.0,33852,0.0,191.16465863453814,bajo
mobile,80000.0,80000,1635.0,1.0,3.0,3.0,0.0,1996.0,33857,0.0,48.92966360856269,bajo
single_family,250000.0,295000,1869.0,1.0,3.0,2.0,2.0,1996.0,34748,0.0,157.83841626538256,bajo
single_family,394990.0,393990,1672.0,1.0,3.0,2.0,2.0,2025.0,34771,0.0,235.63995215311004,medio
single_family,288180.0,280000,1375.0,1.0,3.0,2.0,2.0,1992.0,32780,0.0,203.63636363636363,bajo
single_family,439000.0,425000,2028.0,1.0,3.0,2.0,2.0,1986.0,34293,0.0,209.56607495069034,medio
single_family,374997.0,405921,2450.0,2.0,4.0,3.0,2.0,2025.0,32164,0.0,165.68204081632652,medio
single_family,809900.0,775000,2590.0,1.0,3.0,2.0,2.0,2006.0,34104,1.0,299.2277992277992,alto
single_family,365000.0,295000,2148.0,2.0,2.0,2.0,2.0,2004.0,34746,1.0,137.3370577281192,bajo
single_family,499990.0,499990,3198.0,2.0,5.0,3.0,2.0,2025.0,34769,0.0,156.34459036898062,alto
townhomes,359000.0,350000,1189.0,1.0,3.0,2.0,0.0,2005.0,33030,0.0,294.3650126156434,medio
single_family,694450.0,692000,2787.0,1.0,4.0,3.0,3.0,2025.0,34761,1.0,248.29565841406531,alto
condos,349900.0,330000,1450.0,1.0,2.0,2.0,1.0,1996.0,34113,0.0,227.58620689655172,medio
single_family,2695000.0,2400000,3623.0,1.0,4.0,4.0,2.0,2003.0,32550,2.0,662.4344465912227,alto
single_family,384900.0,377000,1156.0,1.0,2.0,2.0,2.0,2012.0,34211,0.0,326.12456747404843,medio
single_family,305000.0,305000,1809.0,1.0,3.0,2.0,2.0,1989.0,34606,0.0,168.60143725815368,medio
single_family,840646.0,840646,3849.0,2.0,5.0,4.0,2.0,2006.0,34786,1.0,218.4063393089114,alto
mobile,20000.0,18000,1680.0,1.0,1.0,1.0,0.0,1999.0,34607,0.0,10.714285714285714,bajo
condos,399900.0,375000,1646.0,1.0,3.0,2.0,1.0,1993.0,34113,0.0,227.82503037667072,medio
single_family,480000.0,480000,1776.0,1.0,3.0,2.0,2.0,2022.0,32832,0.0,270.27027027027026,alto
mobile,199900.0,207700,1856.0,1.0,4.0,3.0,0.0,2001.0,34491,0.0,111.90732758620689,bajo
single_family,635000.0,625000,2552.0,2.0,4.0,3.0,2.0,2004.0,33411,0.0,244.90595611285266,alto
single_family,1400000.0,1400000,2743.0,2.0,4.0,3.0,2.0,2025.0,33603,1.0,510.3900838497995,alto
single_family,420000.0,405000,2265.0,1.0,4.0,3.0,2.0,2025.0,32958,0.0,178.80794701986756,medio
single_family,339000.0,328000,1843.0,1.0,3.0,2.0,2.0,1992.0,33844,0.0,177.97069994574065,medio
mobile,24900.0,24900,1680.0,1.0,2.0,2.0,0.0,1983.0,34690,0.0,14.821428571428571,bajo
condos,449000.0,425000,1998.0,2.0,3.0,2.0,1.0,2022.0,34293,0.0,212.71271271271272,medio
single_family,1147000.0,1172000,3102.0,2.0,4.0,3.0,2.0,2016.0,32246,0.0,377.8207607994842,alto
single_family,404900.0,387000,2036.0,1.0,4.0,3.0,2.0,2023.0,32097,0.0,190.07858546168958,medio
single_family,404990.0,384990,1504.0,1.0,3.0,2.0,2.0,2025.0,32773,0.0,255.97739361702128,medio
single_family,870000.0,720000,3814.0,1.0,4.0,3.0,2.0,2023.0,33810,0.0,188.77818563188254,alto
single_family,1139000.0,1100000,2740.0,2.0,4.0,3.0,2.0,2016.0,34211,1.0,401.45985401459853,alto
single_family,279990.0,309959,1366.0,1.0,3.0,2.0,2.0,2026.0,34219,0.0,226.9099560761347,medio
land,259000.0,250000,1680.0,1.0,3.0,2.0,0.0,1999.0,32113,0.0,148.8095238095238,bajo
single_family,2995000.0,2800000,5167.0,3.0,4.0,5.0,4.0,2010.0,32405,1.0,541.9005225469325,alto
single_family,950000.0,850000,5822.0,2.0,6.0,6.0,2.0,1987.0,32909,1.0,145.99793885262795,alto
single_family,1259000.0,1150000,3343.0,2.0,5.0,4.0,3.0,2017.0,33025,1.0,344.00239306012566,alto
single_family,699000.0,675000,2251.0,1.0,4.0,2.0,2.0,1962.0,32080,0.0,299.86672589960017,alto
single_family,700000.0,660000,3413.0,1.0,5.0,3.0,2.0,1987.0,33565,0.0,193.37825959566365,alto
single_family,334900.0,334900,1744.0,1.0,3.0,2.0,2.0,2025.0,33811,0.0,192.02981651376146,medio
single_family,405000.0,415000,1503.0,1.0,2.0,2.0,2.0,2023.0,34114,0.0,276.11443779108447,medio
mobile,29900.0,25000,924.0,1.0,2.0,2.0,0.0,1989.0,34951,0.0,27.056277056277057,bajo
single_family,849999.0,824000,2444.0,2.0,4.0,3.0,2.0,1986.0,32080,0.0,337.15220949263505,alto
mobile,74900.0,67500,1060.0,1.0,2.0,2.0,0.0,2000.0,34655,0.0,63.679245283018865,bajo
single_family,224900.0,205000,1756.0,1.0,4.0,2.0,0.0,1978.0,34669,0.0,116.74259681093395,bajo
condos,599000.0,600000,1574.0,1.0,2.0,2.0,0.0,1978.0,33308,0.0,381.19440914866584,alto
single_family,749900.0,715000,1933.0,1.0,3.0,2.0,2.0,2023.0,33470,0.0,369.8913605794102,alto
single_family,3200000.0,2940000,3912.0,2.0,3.0,3.0,3.0,2019.0,34208,1.0,751.5337423312883,alto
single_family,454900.0,455000,1952.0,1.0,4.0,2.0,2.0,1998.0,32828,0.0,233.09426229508196,medio
single_family,599900.0,599000,2809.0,2.0,4.0,3.0,3.0,2016.0,32068,1.0,213.24314702741188,alto
mobile,199500.0,199500,1056.0,1.0,3.0,2.0,0.0,1985.0,34669,0.0,188.92045454545453,bajo
mobile,155000.0,135000,1056.0,1.0,2.0,2.0,0.0,1986.0,33980,0.0,127.8409090909091,bajo
single_family,670000.0,670000,1666.0,1.0,3.0,2.0,2.0,1980.0,33186,0.0,402.1608643457383,alto
single_family,1775000.0,1605000,4920.0,2.0,5.0,4.0,3.0,2008.0,32095,1.0,326.219512195122,alto
single_family,999500.0,985000,2092.0,2.0,3.0,3.0,2.0,2005.0,34997,1.0,470.8413001912046,alto
single_family,1349000.0,1200000,2964.0,2.0,4.0,4.0,6.0,1914.0,32926,0.0,404.8582995951417,alto
single_family,419900.0,400000,1716.0,1.0,2.0,2.0,2.0,2019.0,34987,0.0,233.1002331002331,medio
single_family,3850000.0,3500000,4414.0,1.0,4.0,4.0,2.0,1987.0,33411,1.0,792.931581332125,alto
single_family,3350000.0,3250000,5807.0,2.0,4.0,4.0,4.0,2007.0,34208,1.0,559.6693645600138,alto
single_family,1820000.0,1725000,2775.0,1.0,3.0,3.0,4.0,2006.0,32034,0.0,621.6216216216217,alto
single_family,699000.0,625000,1986.0,1.0,3.0,2.0,2.0,1978.0,32065,0.0,314.70292044310173,alto
condos,420000.0,420000,908.0,1.0,1.0,1.0,0.0,2007.0,33301,0.0,462.55506607929516,medio
single_family,3500000.0,3300000,6954.0,2.0,5.0,5.0,4.0,2015.0,34241,2.0,474.54702329594477,alto
single_family,699900.0,655000,1994.0,1.0,2.0,2.0,2.0,2016.0,33473,0.0,328.48545636910734,alto
single_family,2750000.0,2500000,3764.0,2.0,4.0,4.0,2.0,1977.0,34242,1.0,664.1870350690755,alto
single_family,245000.0,245000,1204.0,1.0,3.0,2.0,0.0,1985.0,32907,0.0,203.48837209302326,bajo
single_family,817000.0,785000,2660.0,1.0,4.0,4.0,8.0,1981.0,34947,0.0,295.1127819548872,alto
mobile,29900.0,29900,1593.0,1.0,2.0,2.0,0.0,1992.0,33540,0.0,18.76961707470182,bajo
condos,449900.0,417999,1749.0,1.0,3.0,2.0,0.0,1985.0,32920,0.0,238.99313893653516,medio
single_family,2950000.0,2800000,5507.0,2.0,5.0,5.0,3.0,1997.0,33327,1.0,508.4437988015253,alto
single_family,699900.0,686000,2542.0,1.0,4.0,3.0,2.0,1997.0,32836,0.0,269.8662470495673,alto
condos,1095000.0,1000000,1662.0,1.0,2.0,2.0,1.0,1981.0,33404,0.0,601.6847172081829,alto
single_family,599000.0,550000,4200.0,2.0,4.0,3.0,0.0,2021.0,32438,1.0,130.95238095238096,alto
single_family,1199000.0,1155000,3025.0,1.0,3.0,3.0,2.0,2018.0,34211,0.0,381.8181818181818,alto
single_family,1199000.0,1100000,2714.0,1.0,5.0,2.0,2.0,1966.0,33569,0.0,405.3058216654385,alto
single_family,574900.0,574900,1827.0,1.0,3.0,2.0,2.0,2017.0,34212,0.0,314.6688560481664,alto
single_family,695000.0,675000,2382.0,1.0,3.0,3.0,2.0,1993.0,34972,0.0,283.37531486146094,alto
single_family,995000.0,862500,2688.0,2.0,3.0,2.0,2.0,1988.0,34285,1.0,320.8705357142857,alto
single_family,2217800.0,2100000,5022.0,3.0,4.0,4.0,3.0,2017.0,32127,0.0,418.1600955794504,alto
single_family,714999.0,678750,2342.0,2.0,3.0,2.0,2.0,2025.0,32224,1.0,289.81639624252773,alto
single_family,245000.0,220000,1468.0,1.0,2.0,2.0,2.0,1986.0,34606,0.0,149.86376021798364,bajo
single_family,620000.0,590000,2459.0,1.0,3.0,3.0,3.0,2005.0,32174,0.0,239.93493289955268,alto
single_family,3695000.0,3300000,3078.0,1.0,4.0,4.0,2.0,1969.0,33432,1.0,1072.1247563352827,alto
townhomes,449900.0,440000,1670.0,2.0,3.0,2.0,2.0,1989.0,32819,1.0,263.47305389221555,medio
single_family,725000.0,725000,2588.0,1.0,4.0,3.0,2.0,2002.0,32226,0.0,280.1391035548686,alto
single_family,995000.0,1010000,2541.0,1.0,4.0,3.0,3.0,1996.0,33428,0.0,397.48130657221566,alto
single_family,560000.0,560000,1632.0,1.0,3.0,2.0,2.0,1986.0,33351,0.0,343.1372549019608,alto
townhomes,737000.0,725000,2008.0,1.0,3.0,3.0,1.0,2009.0,33178,0.0,361.0557768924303,alto
single_family,3675000.0,3625000,1658.0,1.0,3.0,2.0,0.0,1986.0,33050,0.0,2186.369119420989,alto
condos,1575000.0,1375000,1876.0,3.0,3.0,2.0,0.0,2005.0,33037,1.0,732.9424307036247,alto
single_family,2599000.0,2500000,4385.0,2.0,6.0,5.0,2.0,2009.0,33458,0.0,570.1254275940707,alto
mobile,55000.0,52500,1248.0,1.0,2.0,2.0,0.0,1999.0,34758,0.0,42.06730769230769,bajo
condos,599000.0,585000,1096.0,1.0,2.0,2.0,0.0,1975.0,34228,0.0,533.7591240875912,alto
single_family,500000.0,490000,2237.0,1.0,4.0,2.0,2.0,2005.0,32003,0.0,219.04336164506034,alto
condos,3275000.0,3010000,2493.0,3.0,3.0,2.0,2.0,2013.0,33408,0.0,1207.3806658644203,alto
mobile,369000.0,360000,1782.0,1.0,3.0,2.0,0.0,1991.0,32234,0.0,202.02020202020202,medio
townhomes,445000.0,440000,1877.0,2.0,4.0,3.0,1.0,2007.0,33437,1.0,234.4166222695791,medio
single_family,759900.0,725000,1942.0,1.0,3.0,2.0,2.0,1986.0,33455,0.0,373.3264675592173,alto
townhomes,395000.0,375000,1826.0,2.0,3.0,2.0,2.0,1981.0,32578,0.0,205.36692223439212,medio
single_family,649500.0,639000,2704.0,1.0,4.0,3.0,2.0,2005.0,32095,0.0,236.31656804733728,alto
single_family,379000.0,365000,2156.0,1.0,4.0,3.0,0.0,2016.0,32408,1.0,169.29499072356217,medio
single_family,8550000.0,7850000,7321.0,4.0,10.0,11.0,1.0,2024.0,32459,2.0,1072.2578882666303,alto
condos,649000.0,585000,944.0,1.0,2.0,2.0,0.0,1985.0,34236,0.0,619.7033898305085,alto
single_family,489900.0,470000,1652.0,1.0,3.0,2.0,2.0,1978.0,34683,0.0,284.5036319612591,medio
townhomes,1720000.0,1625000,2089.0,2.0,3.0,3.0,2.0,2007.0,34102,1.0,777.8841550981331,alto
single_family,399999.0,350000,2330.0,1.0,3.0,2.0,3.0,2008.0,34481,0.0,150.21459227467813,medio
single_family,189900.0,175000,1120.0,1.0,2.0,2.0,1.0,1992.0,34748,0.0,156.25,bajo
single_family,1089990.0,1089990,2974.0,2.0,4.0,4.0,2.0,2025.0,33609,0.0,366.50638870208473,alto
condos,500000.0,475000,1452.0,1.0,2.0,2.0,0.0,1977.0,34957,0.0,327.1349862258953,medio
single_family,1000000.0,975000,2770.0,2.0,4.0,4.0,2.0,1984.0,34683,0.0,351.985559566787,alto
condos,399999.0,390000,1411.0,2.0,3.0,2.0,0.0,1980.0,33433,0.0,276.3997165131113,medio
single_family,3599000.0,3375000,5064.0,1.0,5.0,4.0,4.0,1994.0,33487,1.0,666.4691943127962,alto
single_family,1390000.0,1361000,2695.0,2.0,5.0,4.0,1.0,2000.0,32541,0.0,505.00927643784786,alto
single_family,349900.0,340000,1850.0,1.0,4.0,3.0,2.0,2000.0,34653,0.0,183.78378378378378,medio
single_family,494900.0,470000,2345.0,1.0,4.0,2.0,2.0,2003.0,34983,0.0,200.4264392324094,medio
single_family,329900.0,329900,1858.0,1.0,3.0,2.0,2.0,2008.0,32908,0.0,177.55651237890206,medio
single_family,274900.0,269900,1458.0,1.0,4.0,2.0,2.0,2026.0,32404,0.0,185.11659807956104,bajo
townhomes,750000.0,715000,2921.0,3.0,4.0,3.0,2.0,2018.0,33028,1.0,244.77918521054434,alto
single_family,329990.0,329990,1862.0,1.0,4.0,2.0,2.0,2025.0,32218,0.0,177.2234156820623,medio
single_family,510000.0,500000,2086.0,1.0,2.0,2.0,2.0,2006.0,34986,0.0,239.69319271332694,alto
single_family,504900.0,480000,2781.0,1.0,3.0,3.0,3.0,2024.0,34219,1.0,172.5997842502697,alto
condos,644900.0,600000,1403.0,1.0,2.0,2.0,1.0,1980.0,33756,0.0,427.6550249465431,alto
single_family,399800.0,392400,1900.0,1.0,4.0,2.0,0.0,1984.0,34772,0.0,206.52631578947367,medio
single_family,1900000.0,1784000,3646.0,1.0,5.0,4.0,3.0,2001.0,33330,0.0,489.30334613274823,alto
single_family,1289900.0,1250000,3775.0,2.0,5.0,3.0,2.0,2000.0,32541,1.0,331.12582781456956,alto
townhomes,550000.0,530000,1902.0,2.0,4.0,2.0,1.0,1984.0,32548,1.0,278.6540483701367,alto
condos,306000.0,300000,2004.0,1.0,3.0,2.0,2.0,1991.0,33950,1.0,149.7005988023952,medio
single_family,339900.0,339900,2043.0,1.0,5.0,3.0,2.0,2026.0,32404,0.0,166.37298091042584,medio
single_family,3099999.0,2860000,7631.0,2.0,5.0,4.0,2.0,1986.0,33175,1.0,374.7870528109029,alto
single_family,1600000.0,1375000,3875.0,1.0,3.0,3.0,2.0,1993.0,33412,1.0,354.83870967741933,alto
single_family,225000.0,256000,1366.0,1.0,2.0,2.0,2.0,1991.0,34606,0.0,187.40849194729137,bajo
condos,214900.0,202000,1385.0,1.0,3.0,2.0,0.0,1986.0,33437,0.0,145.84837545126354,bajo
townhomes,310000.0,310000,1192.0,2.0,2.0,2.0,0.0,1980.0,32920,1.0,260.06711409395973,medio
single_family,495000.0,485000,1952.0,1.0,3.0,2.0,2.0,2023.0,33470,1.0,248.46311475409837,alto
single_family,315000.0,300000,1200.0,2.0,2.0,2.0,0.0,2007.0,32456,1.0,250.0,medio
mobile,169900.0,159900,1250.0,1.0,3.0,2.0,0.0,2017.0,34470,0.0,127.92,bajo
mobile,189900.0,185000,2046.0,1.0,2.0,3.0,0.0,2007.0,34952,0.0,90.42033235581623,bajo
single_family,479000.0,445000,1255.0,1.0,3.0,2.0,2.0,1959.0,33772,0.0,354.5816733067729,medio
single_family,2550000.0,2350000,3126.0,1.0,5.0,3.0,3.0,2016.0,33176,1.0,751.7594369801664,alto
single_family,315000.0,315000,1757.0,1.0,4.0,2.0,2.0,2007.0,32117,0.0,179.28286852589642,medio
single_family,549000.0,549000,1951.0,1.0,3.0,2.0,2.0,1998.0,33446,0.0,281.3941568426448,alto
single_family,495000.0,492500,2558.0,1.0,4.0,3.0,2.0,1967.0,32309,0.0,192.53322908522284,alto
single_family,302900.0,292245,1580.0,1.0,3.0,2.0,2.0,2026.0,32404,0.0,184.96518987341773,bajo
single_family,481990.0,467000,2123.0,1.0,3.0,2.0,2.0,2025.0,33572,0.0,219.97173810645313,medio
single_family,490000.0,460000,2005.0,1.0,3.0,2.0,2.0,2023.0,34293,0.0,229.42643391521196,medio
townhomes,338000.0,330000,1760.0,2.0,3.0,2.0,2.0,2020.0,32092,1.0,187.5,medio
single_family,2299000.0,1800000,2906.0,1.0,3.0,3.0,2.0,2003.0,33412,1.0,619.4081211286992,alto
single_family,739500.0,705000,3250.0,2.0,4.0,3.0,3.0,1998.0,32256,0.0,216.92307692307693,alto
single_family,3995000.0,3850000,4824.0,1.0,5.0,6.0,2.0,2025.0,33182,1.0,798.0928689883914,alto
mobile,70000.0,65000,1639.0,1.0,2.0,2.0,0.0,1996.0,33860,0.0,39.65832824893228,bajo
single_family,885000.0,855000,1981.0,1.0,3.0,2.0,0.0,2001.0,32459,0.0,431.6002019182231,alto
single_family,475000.0,460000,2322.0,1.0,4.0,2.0,0.0,1989.0,32763,0.0,198.10508182601205,medio
single_family,288990.0,288990,1646.0,1.0,3.0,2.0,2.0,2026.0,32219,0.0,175.57108140947753,bajo
single_family,750000.0,750000,1822.0,1.0,3.0,3.0,0.0,2022.0,34972,0.0,411.635565312843,alto
single_family,1278000.0,1278000,3388.0,1.0,5.0,3.0,2.0,2000.0,33330,0.0,377.2136953955136,alto
single_family,1899000.0,1507500,2302.0,2.0,4.0,3.0,0.0,1973.0,33050,0.0,654.8653344917464,alto
single_family,1649000.0,1600000,3197.0,3.0,4.0,3.0,1.0,2025.0,32459,1.0,500.4691898654989,alto
single_family,500000.0,475000,2256.0,1.0,4.0,2.0,2.0,2011.0,33948,0.0,210.54964539007094,medio
land,174300.0,150000,1680.0,1.0,3.0,2.0,0.0,1999.0,34957,0.0,89.28571428571429,bajo
single_family,469999.0,465000,1760.0,1.0,4.0,3.0,2.0,2003.0,34747,0.0,264.20454545454544,medio
single_family,829000.0,829000,2389.0,1.0,4.0,3.0,2.0,1999.0,33076,0.0,347.0071159480954,alto
single_family,850000.0,711000,2374.0,1.0,3.0,2.0,2.0,1989.0,32952,1.0,299.4945240101095,alto
single_family,1195000.0,1025000,2757.0,2.0,4.0,3.0,2.0,2006.0,33315,0.0,371.7809212912586,alto
single_family,699000.0,656000,3242.0,2.0,5.0,3.0,3.0,2016.0,34219,0.0,202.34423195558298,alto
condos,2750000.0,2300000,1990.0,1.0,2.0,2.0,2.0,2018.0,33305,1.0,1155.7788944723618,alto
condos,990000.0,975000,1292.0,1.0,2.0,2.0,0.0,1985.0,32550,0.0,754.6439628482972,alto
condos,1995000.0,1850000,2454.0,1.0,3.0,3.0,1.0,1981.0,33404,1.0,753.8712306438467,alto
condos,750000.0,701000,1523.0,1.0,2.0,2.0,1.0,1975.0,34228,0.0,460.2757715036113,alto
single_family,473900.0,465000,1742.0,1.0,3.0,2.0,2.0,1972.0,32136,1.0,266.9345579793341,medio
single_family,344990.0,344990,1862.0,1.0,4.0,2.0,2.0,2025.0,32043,0.0,185.27926960257787,medio
condos,498000.0,465000,1307.0,2.0,2.0,1.0,0.0,1974.0,32233,1.0,355.77658760520274,medio
single_family,295000.0,281000,1602.0,1.0,3.0,2.0,2.0,2003.0,32137,0.0,175.40574282147315,bajo
single_family,675000.0,652000,3133.0,2.0,5.0,3.0,2.0,1988.0,32127,1.0,208.1072454516438,alto
single_family,337990.0,337000,2030.0,1.0,5.0,3.0,2.0,2026.0,32219,0.0,166.00985221674875,medio
single_family,499999.0,505000,1599.0,1.0,2.0,2.0,2.0,2021.0,34987,0.0,315.8223889931207,alto
condos,575000.0,575000,2287.0,1.0,3.0,3.0,2.0,2006.0,34202,0.0,251.42107564494972,alto
single_family,539900.0,549900,2122.0,1.0,3.0,2.0,2.0,2023.0,34219,0.0,259.1423185673893,alto
condos,489000.0,470000,2392.0,2.0,3.0,2.0,2.0,2007.0,34202,1.0,196.48829431438128,medio
single_family,1550000.0,1535000,2985.0,2.0,4.0,3.0,2.0,2020.0,32789,1.0,514.2378559463987,alto
single_family,475000.0,450000,1755.0,1.0,3.0,2.0,2.0,1993.0,34292,0.0,256.4102564102564,medio
single_family,384990.0,384990,2499.0,2.0,5.0,3.0,2.0,2026.0,32137,0.0,154.0576230492197,medio
condos,259900.0,255000,1410.0,1.0,2.0,2.0,2.0,2006.0,33573,0.0,180.85106382978722,bajo
townhomes,240000.0,240730,1307.0,2.0,2.0,2.0,2.0,1984.0,32174,1.0,184.18515684774292,bajo
single_family,349500.0,350000,1852.0,1.0,3.0,2.0,2.0,2004.0,34224,0.0,188.98488120950324,medio
townhomes,590000.0,535000,2274.0,3.0,3.0,3.0,2.0,2006.0,33418,1.0,235.26824978012314,alto
single_family,419000.0,412000,2135.0,1.0,4.0,3.0,2.0,2018.0,34744,0.0,192.97423887587823,medio
condos,158000.0,153000,978.0,1.0,2.0,2.0,0.0,1988.0,33617,0.0,156.44171779141104,bajo
single_family,799000.0,799000,2832.0,2.0,2.0,3.0,2.0,2015.0,34231,1.0,282.1327683615819,alto
single_family,4545000.0,4200000,3436.0,2.0,6.0,5.0,2.0,1998.0,33149,1.0,1222.3515715948777,alto
single_family,410000.0,380000,2519.0,1.0,4.0,2.0,2.0,1988.0,32164,0.0,150.85351329892814,medio
condos,330000.0,319000,1430.0,1.0,2.0,2.0,1.0,2004.0,33950,0.0,223.07692307692307,medio
condos,1800000.0,1650000,1944.0,1.0,3.0,2.0,2.0,2005.0,33131,1.0,848.7654320987655,alto
single_family,364000.0,350000,1604.0,1.0,2.0,2.0,2.0,1991.0,34986,0.0,218.20448877805487,medio
single_family,728000.0,701000,2942.0,2.0,4.0,2.0,2.0,1998.0,33028,1.0,238.27328348062542,alto
single_family,380000.0,380000,1478.0,1.0,4.0,3.0,0.0,1983.0,33558,0.0,257.1041948579161,medio
single_family,234999.0,229999,1098.0,1.0,3.0,2.0,0.0,1967.0,32905,0.0,209.47085610200364,bajo
single_family,299900.0,299900,1580.0,1.0,3.0,2.0,2.0,2026.0,32404,0.0,189.81012658227849,medio
condos,210000.0,190000,1280.0,1.0,2.0,2.0,0.0,1972.0,34205,0.0,148.4375,bajo
single_family,279000.0,268800,1530.0,1.0,2.0,1.0,1.0,1960.0,32033,0.0,175.68627450980392,bajo
single_family,835000.0,835000,2643.0,2.0,4.0,2.0,2.0,1900.0,32503,0.0,315.9288687097995,alto
single_family,1325000.0,1100000,1844.0,1.0,4.0,2.0,0.0,1954.0,33460,0.0,596.529284164859,alto
single_family,359900.0,360900,1701.0,1.0,4.0,2.0,2.0,1973.0,32504,0.0,212.16931216931218,medio
condos,185000.0,175000,1107.0,1.0,2.0,2.0,0.0,1981.0,34997,0.0,158.08491418247516,bajo
condos,295000.0,270000,1196.0,1.0,2.0,2.0,0.0,1995.0,34986,0.0,225.752508361204,bajo
condos,650000.0,650000,1455.0,1.0,2.0,2.0,1.0,1970.0,33141,0.0,446.73539518900344,alto
single_family,354000.0,335000,1872.0,1.0,2.0,2.0,2.0,1994.0,34293,0.0,178.95299145299145,medio
single_family,650000.0,650000,2027.0,1.0,3.0,2.0,2.0,1991.0,34990,0.0,320.6709422792304,alto
single_family,425000.0,375000,1668.0,1.0,3.0,2.0,0.0,1959.0,33603,0.0,224.82014388489208,medio
single_family,1050000.0,1020000,2918.0,1.0,4.0,2.0,2.0,2023.0,34772,0.0,349.5544893762851,alto
condos,350000.0,335000,1449.0,1.0,2.0,2.0,1.0,2016.0,34229,0.0,231.19392684610077,medio
townhomes,310000.0,300000,1310.0,2.0,2.0,2.0,1.0,1984.0,32937,1.0,229.00763358778627,medio
condos,369000.0,349000,1592.0,1.0,3.0,2.0,1.0,1991.0,33950,0.0,219.2211055276382,medio
townhomes,425000.0,400000,1702.0,3.0,3.0,3.0,1.0,1979.0,32548,0.0,235.01762632197415,medio
single_family,565000.0,555000,2105.0,1.0,4.0,2.0,2.0,2001.0,32955,0.0,263.65795724465556,alto
single_family,399000.0,392000,1942.0,1.0,3.0,2.0,2.0,2000.0,34432,0.0,201.85375901132852,medio
condos,490000.0,430000,1553.0,1.0,3.0,2.0,0.0,2007.0,32456,0.0,276.88345138441724,medio
single_family,815000.0,800000,3981.0,2.0,5.0,4.0,3.0,2019.0,32259,1.0,200.9545340366742,alto
land,850000.0,753000,1680.0,1.0,3.0,2.0,0.0,1999.0,34223,0.0,448.2142857142857,alto
single_family,739000.0,710000,1276.0,1.0,3.0,2.0,1.0,1959.0,34698,0.0,556.4263322884012,alto
land,182000.0,150000,1680.0,1.0,3.0,2.0,0.0,1999.0,32976,0.0,89.28571428571429,bajo
single_family,1150000.0,1050000,4717.0,2.0,5.0,4.0,3.0,2007.0,33157,0.0,222.59910960356157,alto
mobile,29900.0,17000,1464.0,1.0,2.0,2.0,2.0,1989.0,34241,0.0,11.612021857923498,bajo
condos,749000.0,639000,2400.0,1.0,3.0,3.0,0.0,1976.0,33160,0.0,266.25,alto
single_family,635000.0,600000,2450.0,1.0,4.0,3.0,3.0,2015.0,33567,0.0,244.89795918367346,alto
condos,1100000.0,950000,1720.0,1.0,2.0,2.0,0.0,1980.0,34217,0.0,552.3255813953489,alto
condos,685000.0,610000,1686.0,1.0,3.0,2.0,1.0,2005.0,32920,0.0,361.80308422301306,alto
single_family,405000.0,385000,1850.0,1.0,4.0,2.0,2.0,2012.0,32259,0.0,208.1081081081081,medio
single_family,330000.0,310000,2047.0,2.0,3.0,2.0,2.0,1993.0,34453,1.0,151.44113336590132,medio
single_family,575000.0,560000,1914.0,1.0,3.0,2.0,4.0,2000.0,32063,1.0,292.5809822361546,alto
single_family,849000.0,849000,2481.0,1.0,4.0,2.0,2.0,2003.0,33418,1.0,342.2007255139057,alto
single_family,350000.0,400000,1679.0,1.0,3.0,2.0,2.0,1975.0,32526,0.0,238.23704586063133,medio
single_family,700000.0,705000,1952.0,2.0,3.0,3.0,0.0,1984.0,33176,0.0,361.16803278688525,alto
single_family,489900.0,450000,1875.0,1.0,3.0,3.0,2.0,2025.0,34762,0.0,240.0,medio
single_family,469900.0,469900,1544.0,1.0,3.0,2.0,3.0,1988.0,32949,0.0,304.33937823834196,medio
condos,499000.0,489000,2512.0,2.0,3.0,3.0,2.0,2006.0,34114,0.0,194.6656050955414,alto
single_family,1700000.0,1680000,3480.0,2.0,4.0,4.0,3.0,2005.0,32082,0.0,482.7586206896552,alto
